"","ID_Year","Family","BlockDrought","Region","Site.Lat","Experiment_Date","SLA","Water_Content","Assimilation","Stomatal_Conductance","Period"
"420","S17_2015","226","4_D","1.North","41.7_S17",107,184.375,0.242962962962963,10.22934866,0.366047918333333,"Peak"
"423","S17_2015","226","3_W","1.North","41.7_S17",102,213.865450399088,0.21390243902439,12.6253141933333,0.412945383666667,"Peak"
"427","S17_2015","227","3_D","1.North","41.7_S17",96,259.704724409449,0.181428571428571,13.5635081333333,0.644610305333333,"Peak"
"428","S17_2015","227","4_D","1.North","41.7_S17",91,218.899755501222,0.227222222222222,8.212360891,0.186234508666667,"Peak"
"431","S17_2015","227","3_W","1.North","41.7_S17",100,217.140740740741,0.192857142857143,10.14280878,0.269743677666667,"Peak"
"432","S17_2015","227","4_W","1.North","41.7_S17",103,226.9176882662,0.190333333333333,14.7306050433333,0.523601803,"Peak"
"435","S17_2015","228","3_D","1.North","41.7_S17",103,125.148986889154,0.254242424242424,15.4676474866667,0.452599333,"Peak"
"436","S17_2015","228","4_D","1.North","41.7_S17",88,180.052356020942,0.23875,8.04849370566667,0.284529542666667,"Peak"
"439","S17_2015","228","3_W","1.North","41.7_S17",90,151.446613088404,0.2721875,12.83197195,0.290754902,"Peak"
"443","S17_2015","229","3_D","1.North","41.7_S17",95,247.979452054795,0.176969696969697,13.15422528,0.445942446,"Peak"
"444","S17_2015","229","4_D","1.North","41.7_S17",104,319.354207436399,0.138108108108108,12.8560565566667,0.382211952,"Peak"
"447","S17_2015","229","3_W","1.North","41.7_S17",108,270.36023054755,0.157727272727273,19.66681949,0.582028291333333,"Peak"
"448","S17_2015","229","4_W","1.North","41.7_S17",107,171.186252771619,0.265294117647059,8.52432099666667,0.141254822333333,"Peak"
"451","S17_2015","230","3_D","1.North","41.7_S17",102,422.302904564315,0.112093023255814,15.1592732633333,0.665056201666667,"Peak"
"452","S17_2015","230","4_D","1.North","41.7_S17",112,315.467980295567,0.1624,12.21071958,0.516887915,"Peak"
"455","S17_2015","230","3_W","1.North","41.7_S17",99,221.518026565465,0.175666666666667,11.29421355,0.310880102333333,"Peak"
"460","S18_2014","266","4_D","2.Center","39.7_S18",102,251.502086230876,0.199722222222222,10.13341496,0.341666636666667,"Peak"
"463","S18_2014","266","3_W","2.Center","39.7_S18",87,157.488708220416,0.316285714285714,13.4632684,0.417178291333333,"Peak"
"464","S18_2014","266","4_W","2.Center","39.7_S18",113,181.217510259918,0.235806451612903,14.2560838433333,0.439808941,"Peak"
"467","S18_2014","267","3_D","2.Center","39.7_S18",88,263.280632411067,0.158125,13.2338743,0.639494764,"Peak"
"468","S18_2014","267","4_D","2.Center","39.7_S18",94,201.498371335505,0.279090909090909,12.6942755433333,0.299077005666667,"Peak"
"471","S18_2014","267","3_W","2.Center","39.7_S18",103,221.56202143951,0.2040625,16.97188428,0.696051664333333,"Peak"
